SÕNA,NÄIDE,SARNASED,TASE
laekuma,Kirjastusse laekunud käsikirjad,"lahkuma, lakkuma, laskuma, laiuma, laskma",B2
laeng,Mürsus olev laeng purustab plahvatades mürsu kesta kildudeks,"loeng, lahend, lahing, langus, latern",B2
laenutama,Raamatukogud laenutavad meile kirjandust,"lennutama, lahutama, laiutama, leiutama, lahendama",B1
lahing,Puhkes raske ja ebavõrdne lahing,"lahtine, lahti, laine, ühing, lai",B1
lahjendama,Äädikat tuleb veega lahjendada,"laiendama, lühendama, vahendama, lendama, lapsendama",B2
lahkelt,"Räägib, naeratab lahkelt","lahkesti, lahkheli, vahelt, laht, raskelt",B2
lahkuminek,Kuuldavasti oli lahkumineku põhjuseks nende mõlema ülekeev temperament,"laulmine, lumine, pakkumine, lahtine, väljaminek",B2
lahmima,"Lahmis sõgedas vihas rusikaga, kuhu juhtus","laitma, laiuma, lammas, laimama, lakkima",C1
laht,Lahed ja abajad,"lahti, lahter, latt, latv, laut",B2
lahti,"Lehm oli enda ketist, lõast lahti tõmmanud","lahtine, lai, lahutus, laik, laip",A1
lahus,Sulamid kuuluvad tahkete lahuste hulka,"lahutus, laius, lausa, lause, las",B2
lahustama,ensiin lahustab rasva,"lahutama, lahustuma, rahustama, vahustama, lahutamatu",B2
lahutama,Viiest lahutada kaks on kolm,"lahutamatu, laiutama, lohutama, mahutama, lahvatama",A2
laiali,Buldooser lükkas kruusahunnikud laiali,"laialt, saialill, laiguline, laitma, laiuma",B1
laialt,Nad elavad üsna laialt,"liialt, ülimalt, plaat, ülalt, laitmatu",B1
laiendama,Murdu laiendama,"lendama, lapsendama, liigendama, laienema, loendama",B1
laik,Erutusest tulid näkku punased laigud,"laisk, laip, laks, lask, liik",B2
laine,Maavärinast tekitatud lained maakoore pinnakihtides,"laiune, maine, naine, paine, ülane",B1
laiskus,Katsu oma laiskusest jagu saada,"laius, lõikus, raskus, vaikus, lask",B2
laiune,"Käik oli kitsas, kõigest kolme sammu laiune","laius, lauge, lause, maine, naine",B1
laius,"Külmad hoovused suunduvad suuremate laiuste alt ekvaatori poole, soojad hoovused jälle ekvaatori poolt suurematele laiustele","lausa, lause, maius, las, langus",B1
lajatama,Maja taga lajatas pauk,"pajatama, lavastama, naljatama, laotama, ulatama",C1
lamama,Kalevipoja mõõk lamavat Kääpa jões,"lammas, lammutama, lummama, lärmama, silmama",B1
lamp,Näitab lambiga tuld,"lapp, laps, laup, lomp, laualamp",A1
langema,Lembitu langes Madisepäeva lahingus,"langetama, lugema, nägema, pagema, panema",A2
laotama,Isa laotas aias sõnnikut õunapuudele,"leotama, ulatama, lohutama, loputama, sulatama",C1
lapp,"Kui imik majas, siis ka lapid nööril kuivamas","laps, laup, lepp, lipp, lõpp",B2
laps,Poeg on nende lihane laps,"las, lask, laup, lips, naps",A1
lapselaps,Tal on juba lapselapsedki suured,"lapselik, lapsepõlv, lapsendama, lapsevanem, lillkapsas",A1
lapsevanem,Lapsevanem hoolitseb om lapse eest,"päevane, rasvane, taevane, vallavanem, lasteaed",A2
las,Las nad lähevad täna külla,"lask, laser, lausa, lause, lihas",B1
laskma,Kas tänavu kasemahla laseme,"laskuma, lasuma, lausuma, lausa, luiskama",B1
laskuma,Ärge laskuge üksikasjadesse,"lasuma, lausuma, paiskuma, laulma, tasuma",B2
lastetu,"Näitlejannalt küsiti, kas ta ei kahetse lastetuks jäämist","paistetus, latt, setu, lause, lavastus",B2
laud,Laotasin kaardi lauale,"laug, laul, laup, laut, luud",A1
laudlina,Vanaema heegeldas mulle uue laudlina,"laulmine, laulja, laulma, laul, lina",B2
laug,Piilub poolsuletud laugude vahelt,"lauge, laul, laup, laut, lugu",B2
laul,Ta teab palju meremeeste laule,"laulja, laulma, laup, laut, ülal",A1
laulma,"Vaikselt, tasa, kõvasti, ilusasti, kõlavalt, kähinal, heleda häälega laulma","lausuma, ulatuma, lausa, laulmine, üllatuma",A1
laureaat,Tuli noorte viiuldajate konkursi laureaadiks,"laut, luurama, lugematu, paremalt, referaat",B2
lausa,"Ütle kohe lausa välja, mis sa keerutad","lausuma, lause, ulatus, laut, lava",B1
lause,Ma lisan oma kirjatükki veel ühe lause,"luuser, ulatus, lausuma, laut, lohakus",A2
lauvärv,Väga raske on leida endale sobivat lauvärvi,"värv, värav, värvus, üldarv, liuväli",B2
lava,"Kes leili ei kannatanud, kobis lavalt maha, alla","tava, lavastus, palav, plaan, plaat",A2
lavastaja,Ta on väga andekas noor lavastaja,"lavastama, vastaja, vastukaja, vastama, plahvatama",B2
lavastama,Enesetapuna lavastatud mõrv,"vastama, plahvatama, relvastama, saastama, taastama",B1
laviin,Rusuvoolud on purdkivimite laviinid,"salaviin, liin, viin, vidin, liiane",B2
leevendama,a püüdis oma karme sõnu naeratusega leevendada,"lendama, tervendama, loendama, ülendama, vedama",B2
lehekülg,Romaan oli üle viiesaja lehekülje,"ühekülgne, lumehelves, loetelu, lähedal, lähemal",A2
lehm,Taat tahab hakata lehma pidama,"leht, ülem, lehvima, olema, pehme",A2
leht,Puud on juba täies lehes,"lett, lehtpuu, pilet, lehtsalat, lehvitama",A1
lehvitama,"Lehvitasin sulle, et sa mind rahvamurrus märkaksid","levitama, leiutama, lepitama, levima, lohistama",B2
leib,Ostab poest kolm leiba ja kaks saia,"leid, leil, lein, levi, libe",A1
leidma,"Ta ei leidnud kohe kõneainet, paslikku vastust","leiduma, lesima, levima, leinama, lekkima",A1
leige,"Ahi oli õhtul kuum, hommikuks vaevalt leige","liige, leping, liiges, liigne, pleier",B2
leinama,"Oli üksik inimene, tal pole kedagi leinamas","lendama, leiutama, lepitama, levitama, loendama",B2
leiutama,"Leiutab aina uusi ettekäändeid, valesid","lepitama, levitama, lennutama, liigutama, peibutama",B1
lekkima,"Laev lekib, hakkas lekkima","tekkima, lesima, levima, leppima, läikima",B2
leksikon,Selle kohta ei leidnud teavet ühestki leksikonist,"sektsioon, pension, reaktsioon, ülikond, televisioon",B2
lendama,Lendasin esimest korda reaktiivlennukiga,"loendama, ülendama, lühendama, liigendama, tõlgendama",A1
lennutama,Lapsed lennutavad tuulelohesid,"meenutama, leotama, oletama, ületama, tunnustama",B2
leotama,Määrdunud töörõivaid tuleb enne pesemist kaua leotada,"oletama, ületama, lepitama, levitama, lohutama",B2
lepinguline,Lepingulised kohustused,"pingeline, loominguline, mänguline, plekiline, oluline",B2
lepitama,Küll kohus nad lepitab,"levitama, leppima, oletama, paitama, upitama",B2
leppima,"Vahel nad tülitsevad ja on vihased, siis jälle lepivad","lesima, levima, õppima, lippama, loopima",A2
lett,Unustas ostetud kauba letile,"omlett, žilett, lutt, skelett, tablett",B1
levik,Nakkushaiguse levik tõkestati,"olevik, tulevik, levima, pilvik, päevik",B2
levima,"Gripp levib piisknakkusena, piisknakkuse teel inimeselt inimesele","levitama, lävima, lihvima, pälvima, olema",B1
libe,Rehavars on libedaks ja läikima kulunud,"ülbe, libedus, liberaal, libisema, liige",B1
lift,Kaubad veetakse liftiga keldrikorruse laoruumidest müügisaalidesse,"liit, lint, list, pliit, lihtne",A2
ligemal,Tool peaks lauale olema ligemal kui praegu,"ligemale, liginema, lugema, ligidal, lähemal",B2
ligemale,See kala kaalub ligemale 3 kilogrammi,"ligidale, liginema, lähemale, lugema, ligidal",B2
ligi,Toomas ajas kogu aeg Tiinale ligi,"liik, liim, liin, liit, liiv",B1
liginema,Kass ligineb saagile hiilides,"siginema, liiklema, piinlema, piirnema, tuginema",B2
liha,Kas te sööte meelsamini liha või kala,"lihas, ülihea, lina, lisa, viha",A1
lihas,Pingutasin lihaseid ja tõstsin voodi üles,"ülihea, lihtsasti, lihtsus, lihvima, lina",B1
lihtne,Sõime lihtsat lõunat: koorega kartuleid ja silgukastet,"ühtne, liitlane, liitrine, lihtsameelne, liiane",A1
lihtsalt,Ka keerulistest asjadest on võimalik rääkida selgelt ja lihtsalt,"lihtsasti, liialt, pitsat, visalt, lähtuvalt",A1
lihvima,Käsikirja peaks veel stiililiselt lihvima,"liitma, lävima, liim, liikuma, liimima",B2
liialdama,"Ära liialda, nii hull see asi ei ole","sisaldama, valdama, liigendama, paigaldama, teisaldama",B2
liialt,"Neid inimesi oli seal liialt vähe, et koos laulupidu korraldada","liit, pliiats, siiralt, ülimalt, liiga",B2
liige,Koondlause korduvad liikmed,"liiges, liigne, liigselt, liiter, tiiger",A2
liigutama,Magajad ärkasid ja hakkasid end liigutama,"liigutav, liitma, mõlgutama, niisutama, paigutama",B1
liigutav,Poisi lapsepõlvelugu oli kõigi jaoks äärmiselt liigutav ja tundeküllane,"liigutus, liitma, liikuma, liit, liituma",C1
liik,150 liigiga taimeperekond,"liisk, lipik, liim, liin, liit",B1
liiklema,Maanteel tuleb jalakäijail liigelda vasakus teeservas,"liikuma, liikvele, piinlema, riidlema, seiklema",B2
liiklus,Liikluseks suletud tänavalõik,"riiklus, liikuvus, liiklusmärk, lõikus, liikuma",B1
liikuma,Kellaosutid liiguvad päripäeva,"liituma, lõikuma, liitma, liim, liimima",A1
liikvel,"Metsavaht rääkis, et hunte olevat liikvel","liikvele, liiv, liisk, lipik, oliiv",B2
liin,Laev hoidis majaka liini,"liit, liiv, lina, lind, link",A2
liitlane,Aleksander I liitlased Pühas Liidus,"lätlane, vilistlane, üliõpilane, liitrine, sõltlane",B2
liitma,Osad liidetakse tervikuks,"liituma, niitma, läikima, viitama, lindistama",A2
limonaad,Jõime kihisevat limonaadi,"lina, lind, lonkama, ülikond, linnaosa",B1
limpsima,Naised võivad tundide kaupa juttu ajada ja kohvi limpsida,"lipsama, lisama, lüpsma, püsima, lippama",B2
lina,Valged värskelt triigitud linad laudadel,"lind, link, linn, lint, lisa",B1
lind,Lind istus kase oksal,"lisand, link, linn, lint, loid",A1
link,Tõstab lingi üles ning lükkab ukse lahti,"linn, lint, luik, lõik, lünk",B1
lint,Haridusminister lõikas lindi läbi ning avas uue koolimaja,"list, tint, vint, litsents, minut",B2
lipp,"Valge, must lipp","lips, lõpp, nipp, tipp, lippama",A2
lipsama,"Keegi ei märganud, millal ta minema lipsas","lisama, luiskama, ülistama, lüpsma, lisanduma",C1
lisa,"Seaduse, määruse, lepingu, protokolli lisa","lisama, lisand, list, visa, lisainfo",A2
lisama,"Kas keegi soovib sõnavõtnut täiendada, on kellelgi midagi lisada","luiskama, ülistama, lisanduma, lohistama, sama",A2
litsents,"Taotles litsentsi, sai litsentsi puuvilja sisseveoks","litsentseerima, maitsetus, sent, tsenter, politseinik",B2
litter,Litritega ehitud hobusevaljad,"mitte, luteri, mutter, pitser, pleier",B2
lohk,Nad tõid vett sauna tagant lohust,"lokk, sohk, lonks, lõhki, lõoke",B2
lohutama,Püüdke teda ta mures lohutada,"loputama, ohustama, loksutama, loovutama, osutama",B1
loksuma,Täis pangest loksus vett tooja jala peale,"loksutama, lonkama, loobuma, loojuma, loosima",B2
lollitama,Ta püüab teid petta ja lollitada,"lülitama, volitama, üllitama, oletama, loputama",B2
lonkshaaval,"Mõni joob teeklaasi korraga tühjaks, mõni rüübib lonkshaaval","ükshaaval, osavalt, nähtaval, nähtavale, salakaval",B2
loobuma,Jaan armastab Marit ega loobu temast kunagi,"loojuma, looma, lootma, loovutama, loom",B1
loodetavasti,Jõuame loodetavasti õigeks ajaks,"oletatavasti, väidetavasti, teatavasti, mäletatavasti, loomaarst",B1
loodus,Kas oled rebast päriselt looduses näinud,"loomus, lootus, loovus, moodus, soodus",A1
looduslikult,Oskab kasutada meil looduslikult kasvavaid maitsetaimi,"loomulikult, oskuslikult, teaduslikult, ulatuslikult, pidulikult",B2
loogiline,Tema vastused olid igati loogilised,"teoloogiline, ökoloogiline, loominguline, psühholoogiline, sooline",B1
loojuma,Kogu polaarpäeva jooksul päike ei looju üldse,"looma, lootma, loovutama, loom, loopima",B1
loom,Loomad moodustavad lahutamatu osa loodusest,"looma, loome, ploom, loomne, loomus",A1
looma,Alguses loonud jumal taeva ja maa,"lootma, loopima, loosima, loome, ploom",A2
loomulikult,Müra loomulikult häirib inimesi,"oskuslikult, üleloomulik, lõplikult, ulatuslikult, pidulikult",B1
loosima,Jalgpallimeeskonnad loositi alagruppidesse,"soosima, lootma, otsima, noomima, poksima",B2
lootma,Loodab maal rahu ja vaikust leida,"ootama, tootma, loovutama, ostma, ploom",A2
lootusetu,Mees oli tuleviku suhtes lootusetu,"lootusetult, ootus, lootustandev, loovus, selgusetu",B1
lootusetult,Nende abielu oli lootusetult purunenud,"ohutult, ootamatult, otsustavalt, lõputult, otseselt",B2
lopsakas,Lopsakad lotid lõua all,"läpakas, upsakas, lustakas, pastakas, prussakas",C1
loputama,Loputa oma porised kummikud puhtaks,"poputama, osutama, uputama, lõpetama, nuputama",B2
luba,Tunnist võib lahkuda ainult õpetaja loal,"uba, lubama, tuba, lubadus, tööluba",A2
lubadus,"Kui oled lubaduse andnud, tuleb see ka täita","saladus, vabadus, usuvabadus, lubamatu, lumesadu",A2
lubama,Sellist luksust ei saa ma endale lubada,"lubamatu, lummama, luurama, luiskama, valutama",A1
lugemine,"Kirja, kuulutuse, ajalehe, romaani, luuletuste lugemine","lumine, ülemine, üleminek, osalemine, lumi",B1
luiskama,"Vaata, et sa luisates kätt vikatisse ei lase","tuiskama, lõikama, viskama, nuuskama, paiskama",C1
lukk,Lapsi ei tohi omapead koju luku taha jätta,"luuk, pukk, sukk, uluk, lukksepp",A1
lumi,Öösel hakkas lund sadama,"lumine, ummik, lummav, luteri, olgugi",A1
lunastama,"Vangi langenud sõdalasi, röövitud naisi, mõrsjaid lunastati","punastama, unistama, unustama, lõbustama, puhastama",B2
lutt,"Lutt tõmmatakse pudeli suule, luti otsa tehakse tulise nõelaga auk","mutt, nutt, vutt, lõputult, ruttu",B2
luu,Muistne inimene valmistas luust ehteid,"luud, luuk, luup, luule, luure",A2
luuletus,"Lüüriline, eepiline, vabavärsiline luuletus","muutus, oletus, ulatus, unetus, uputus",B1
luurama,Sõjalise tähtsusega tehnikasaavutusi luuratakse eriti innukalt,"uurima, vurama, lärmama, nurjama, puurima",B2
lõdvestama,Tuleb osata end lõdvestada,"lõdvestuma, lõhestama, salvestama, lõpetama, tõestama",B2
lõdvestuma,Peab oskama lõdvestuda ning pinget maandada,"lõdvestus, vestma, lõhestama, õnnestuma, lõõgastuma",B2
lõhkema,Lõhkekuul lõhkeb märgi tabamisel,"lõhkuma, õhkama, õhkuma, lõke, lõhnama",B2
lõhn,"Nuusuta, mis lõhn siin, sellel taimel on","lõng, õhin, lõhnama, lõhnaõli, lõuna",A2
lõhnama,Maja lõhnab alles remondist,"sõnama, õhkama, lühendama, lõikama, õhutama",B1
lõik,Seda lõiku tähistatakse AB,"lõikus, lõplik, lõiv, lõke, lõks",B2
lõikama,"Kartulid lõikame pooleks, viiludeks, kuubikuteks","lõikuma, põikama, õhkama, läikima, lükkama",A2
lõikuma,Poiss lõigub puupulki,"lõikus, õhkuma, läikima, lükkuma, nihkuma",B2
lõke,Soojendati end lõkke paistel,"lõoke, lõks, tõke, õhuke, lõplik",B2
lõks,Pekitükk meelitab hiire lõksu,"lõpuks, nõks, lõoke, tõuks, lõplik",B2
lõpetama,Ema lõpetas pesu pesemise,"õpetama, lõppema, oletama, peatama, poetama",A1
lõplik,Ülemkohtu otsus on lõplik ning edasikaebamisele ei kuulu,"lõplikult, õpik, õpetlik, plika, lõpuks",B1
lõpp,Sellega maailma lõppu ei jõua,"lõppema, lõppsõna, õppur, õppus, lõpupoole",A1
lõppema,Siin lõpeb linn ja algab maa,"õppemaks, õppima, õpetama, lõppsõna, olema",A1
lõpuks,"Puikles kaua vastu, lõpuks siiski nõustus","tõuks, õppus, lõputu, puhkus, puruks",A2
lõputu,Lõputu universum,"lõputult, lõputöö, nõutu, õpitu, puhtus",B2
lõug,Tukkuja lõug vajus rinnale,"tõug, lõuna, tõuge, õu, olgugi",B1
läbi,"Puges, trügis, pressis end inimeste vahelt läbi","läbima, läti, lävi, seeläbi, läbikäik",A1
läbipaistev,Sellise marineerimise puhul jääb marinaad läbipaistvaks ja värvituks,"läbipaistvus, silmapaistev, väljapaistev, lähipäev, lähistel",B1
lähedal,"Eksam, otsustav hetk, tähtaeg, pühad, valimised on lähedal","lähedale, lähedalt, lähemal, lähedane, lähemale",A2
lähemal,Õnnelikud päevad on juba lähemal,"lähemale, lähemalt, lähenema, lähetama, lühemalt",B1
lähemalt,Räägi sellest lähemalt,"lühemalt, vähemalt, lähenema, lähetama, lähistelt",B2
lähenema,Jaan hakkab juba kuuekümnele lähenema,"lühenema, vähenema, olenema, ägenema, lähetama",B1
lähteasend,Harkseis lähteasendina,"teadmised, lävend, lühend, tasand, teaduskond",B2
lähtuvalt,Me ei juhi riiki arvamusküsitlustest lähtuvalt,"sõltuvalt, nähtaval, tugevalt, nähtavale, tunduvalt",B2
läkitama,Lembitu läkitas saadikud teiste vanemate juurde,"näitama, lülitama, silitama, sülitama, talitama",C1
lööma,"Kella lüüakse, kuskil vist põleb","sööma, möönma, söötma, ööbima, mööduma",A2
lühendama,Suessi kanal lühendas laevateed Euroopa ja India vahel,"ühendama, pühendama, tühjendama, lühenema, ülendama",B2
lühenema,Sügisel päevad lühenevad,"olenema, ühinema, ühene, süvenema, tihenema",B2
lühiajaline,Sadu oli lühiajaline,"pikaajaline, tähtajaline, psüühiline, ühetoaline, lühidalt",B2
lühike,Käib suvel lühikeste pükstega,"ühik, tühik, ühine, tühine, üürike",A1
lükkama,"Pingid ja toolid lükati nurka, lauad lükati koomale, kokku","lükkuma, nakkama, palkama, pilkama, tükkima",B1
lükkuma,Küllasõit aina lükkub nädalast nädalasse,"pakkuma, rikkuma, sekkuma, tikkuma, tilkuma",B2
lüli,"Mitu lüli on sõrmel, varbal","lüliti, süli, tüli, lülitama, müsli",B2
lüpsma,Lehmi lüpstakse kolm korda päevas,"peksma, pesema, pistma, püsima, lütseum",C1
lütseum,Prantsuse lütseum Tallinnas,"pühitsema, tülitsema, valitsema, tasuma, ühtsus",B1
maa,Tegelikkus tõi mind kiiresti maa peale tagasi,"maal, maas, maha, maja, madal",A1
maa-alune,Maa-alune kaeveõõnte labürint,"maapealne, maavanem, moraalne, marginaalne, materiaalne",B2
maadleja,"Palusalu, Kotkas ja teised kuulsad eesti maadlejad","maadlema, maaletooja, maletaja, maaler, maadlus",B2
maadlema,Maadles esimese vastasega viiki,"maalima, maandama, maanduma, vaatlema, vaidlema",B2
maailm,"""Maailma Loomine""","maal, maalima, madal, maailmalõpp, maailmapilt",A1
maailmapilt,Teaduse arenedes maailmapilt avardub,"maalima, madalal, massiliselt, maailmavaade, silmapaistev",B2
maakler,"Kui maakler oli varem eelkõige müügitehniline nõustaja, siis täna peab maakler Soomani sõnul olema tugev turuanalüütik ja psühholoog","maaler, marker, maal, male, madal",B1
maakond,Sel aastal korraldati ka maakonnas oma laulupidu,"saatkond, sadakond, maapind, makaron, maraton",A2
maal,Seintel ripuvad maalid,"madal, maaler, moraal, maas, maha",A2
maandama,Halvast nähtavusest hoolimata maandasid lendurid lennuki õnnelikult,"majandama, maanduma, omandama, taandama, manama",C1
maanduma,"Proovis seda ja teist ametit, kuni maandus lõpuks vabrikusse lihttööliseks","taanduma, majandama, manguma, vanduma, vallanduma",B1
maas,"Lamas pikali, selili, sirakil, maoli, kõhuli maas","maha, mais, maja, mask, mass",B1
maastik,"Ta pildistas maastikku, mida aknast nägi","nastik, vastik, raamistik, rahvastik, saarestik",B2
maavärin,Jaapanis oli hiljuti tugev maavärin,"värin, mandariin, margariin, makaron, mari",B1
magama,Mind ei lastud enam kauem magada,"manama, tagama, manguma, matkama, muigama",A1
mage,Parem suutäis soolast kui maotäis magedat,"magnet, magu, mahe, male, sage",B2
magus,Kas sa jood magusat või mõru kohvi,"maius, matus, omadus, rangus, valgus",A2
maha,Istusime kuuseheki äärde maha,"mahe, mahl, maht, maja, paha",A2
mahe,Kostsid mahedad kandlehelid,"mahl, maht, male, muhe, pahe",B2
mahukas,Mu mantlil on mahukad taskud,"majakas, menukas, murakas, mõjukas, omakasu",B2
mahutama,"Kuhu ma teid mahutan, buss on viimse võimaluseni täis","majutama, maiustama, manustama, matsutama, rahustama",B2
mainima,Kuulis oma nime mainitavat ning tõusis püsti,"minia, marineerima, manama, manitsema, mina",B1
maitse,Veel oli vaja külma vette astuda ja merevee maitset tunda,"maitsev, maitsema, maitsetu, maitsekas, maitsetus",B1
maitseaine,Pastinaaki kasutatakse maitseainena suppides,"maitsetaim, maitsema, maitseroheline, maitsekas, manitsema",B1
maitsekalt,"Käib, on maitsekalt riides, oskab maitsekalt riietuda","maitsekas, maitsema, maitsetu, maitsetus, manitsema",C1
maitsestama,Teed maitsestati suhkru või meega,"maitsetaim, maiustama, manitsema, matsutama, mõtestama",B2
maitsetu,Lõhnatu ja maitsetu vedelik,"maitsetus, maitsev, maiustus, manitsema, paistetus",B2
maiustama,Lapsed käisid maasikapeenral maiustamas,"manustama, mustama, maksustama, vaimustama, majutama",B2
majandus,Majanduses esineb tõusu- ja mõõnaperioode,"majanduslik, omandus, vajadus, masendus, pahandus",A2
majutama,Turistid majutatakse hotelli,"majutuma, mõjutama, vajutama, manustama, matsutama",B2
makett,"Auto, laeva, maja, tööpingi makett","pakett, rakett, maskott, omaette, parkett",B2
makse,Maksed kommunaalteenuste eest,"omaksed, maksmine, maksja, maksma, marker",A2
maksimum,"Kolme, maksimum nelja tunni pärast olen kodus","maksumus, maksma, matkima, omakasu, maksumaksja",B2
maksma,Need saapad maksid omal ajal 60 rubla,"matkama, matkima, maksustama, matma, omama",A1
manama,Püüdsin endale uuesti silma ette manada vanemaid,"omandama, manustama, masendama, mugandama, mandaat",C1
mandariin,Mandariinid kuuluvad tsitrusviljade hulka,"margariin, mander, paariline, standardne, mari",A1
mandel,Sõin praetud mandelid,"mander, mantel, mudel, omand, modell",B2
manipuleerima,Osav advokaat oskab vandekohtuga manipuleerida,"marineerima, tituleerima, spekuleerima, stimuleerima, maskeerima",B2
manitsema,Pastor manitses kantslist kogudust,"nokitsema, valitsema, varitsema, õitsema, põrnitsema",C1
manööver,Kogu jutt oli vaid manööver teiste tähelepanu kõrvalejuhtimiseks,"massöör, nöör, marker, munder, mööbel",B2
maraton,Kes suusakuulsustest võidab 50 km maratoni,"saatkond, variatsioon, margariin, omapärane, sümpaatne",B2
mari,Selle taime marjad on mürgised,"maru, meri, sari, vari, ümar",A2
marker,Tegi markeriga raamatusse jooni,"mikser, märter, tanker, vanker, maskeerima",B1
marsruut,Bussid ja muu ühissõidukid liiguvad kindlal marsruudil,"maru, mast, ruut, marutaud, marss",B1
marssima,Võimlemistunnis õpivad lapsed ka marssima,"mässima, passima, rassima, tassima, masseerima",B2
maru,"Läheb, satub joobnuna kergesti lausa marru","muru, mõru, taru, varu, ümar",C1
masin,Kas seda tuleb teha käsitsi või saab ka masinaga,"massiivne, massiline, pesumasin, mask, mass",A1
mass,Tohutu massiga kivimürakas,"mast, mess, mäss, pass, rass",B1
massiivne,Vana kloostri massiivsed kiviseinad,"massiline, passiivne, naiivne, massiliselt, mässuline",B2
mast,"On olemas neli masti: risti, poti ehk pada, ärtu ja ruutu","matk, matš, must, vast, mastaap",B2
matemaatiline,"Matemaatiline analüüs, matemaatiline statistika, matemaatiline füüsika on matemaatika harud","temaatiline, süstemaatiline, staatiline, pragmaatiline, materiaalne",B2
materjal,Kallimate toodete juures on tarvitatud kallimaid materjale,"tera, mineraal, parajalt, teraselt, teravalt",A2
matkama,Matkas kogu Lõuna-Eesti risti-rästi läbi,"matkima, matma, omastama, matsutama, uimastama",B1
matma,Villem on juba matnud naise ja kaks poega,"mattuma, omama, omastama, muutma, mõõtma",B1
mattuma,Jõemutta mattunud puutüved,"sattuma, samastuma, muutuma, peatuma, pettuma",B2
meel,Nähtavasti polnud sul meeles kella üles keerata,"mees, meie, meil, melu, moel",B1
meeldima,"Mulle see romaan, film, etendus, ooper ei meeldinud","meelitama, meeldiv, meilima, seedima, meeldivalt",A1
meeldiv,On meeldivaid ja ebameeldivaid mälestusi,"meeldivalt, meeleldi, mehelik, meloodia, meelevald",A1
meeldivalt,"""See sobib mulle,"" vastas ta meeldivalt","meelevald, meeleldi, meelevaldne, meloodia, veenvalt",B1
meelega,"Ta räägib meelega nii valjusti, kuigi ei tohi","meelespea, meelevald, menetlema, meelest, meeletu",B2
meeleheitlikult,Naine nutab meeleheitlikult,"meeletult, meelelahutuslik, metsikult, tähelepanelikult, piltlikult",B2
meelelahutuslik,Raamat oli kerge ja meelelahutusliku sisuga,"üllatuslik, meeletult, ulatuslik, üllatuslikult, meeletu",B2
meeleolu,Teoses valitseb lüüriline meeleolu,"meeleolukas, meeletu, meeletult, meelevald, meelest",A2
meelepärane,Minia polnud ämmale meelepärane,"meelevaldne, meelespea, omapärane, tõepärane, rumeenlane",B2
meeletult,Talle oleks meeletult uusi saapaid tarvis,"üksmeelselt, meelevald, metsikult, mõttetult, omlett",B2
meene,Rinnamärk on laulupeolistele meeneks,"teene, meetrine, meeter, mehine, teener",B2
mees,Autos istusid kaks meest ja üks naine,"õemees, meie, mesi, mess, mets",A1
meeskond,Hakati köieveoks meeskonda kokku panema,"meeskondlik, teekond, perekond, meetod, seltskond",A2
meetod,Matemaatiliste meetodite jõudmine loodusteadustesse kõigutas paljusid põhitõdesid,"mentor, metoodika, metroo, mopeed, seekord",B1
mehaanik,"Masin läks rikki, tuleb mehaanik kutsuda","mehaaniline, omanik, mehhanism, mehelik, meik",B1
mehaaniline,"Soojuse, valguse mehaaniline ekvivalent","tehniline, plaaniline, orgaaniline, romantiline, temaatiline",B2
mehhanism,Vokk on üsna lihtne mehhanism,"organism, tehas, metsandus, mehine, omanik",B1
meister,"Kui sell tahtis meistriks saada, pidi esitama tsunftile meistritöö","minister, register, semester, meisterdama, mikser",A2
meisterdama,Lapsed meisterdavad männikoorest laevukesi,"omistama, mõtestama, mälestama, müristama, nikerdama",B2
meremees,Tal on meremehe taaruv kõnnak,"peremees, õemees, ärimees, merendus, noormees",A2
meri,Merest kalu püüdma,"mesi, veri, merisiga, mäger, nimekiri",A1
mesindus,Majand sai mesindusest head tulu,"metsandus, sidus, üksindus, miinus, peidus",B2
mesinik,Aednikud on ageli ka mesinikud,"metsnik, vesinik, metsik, sink, minevik",B2
metoodika,Ei leidnud uurimuseks sobivat metoodikat,"retoorika, moodi, metroo, metsik, mütoloogia",B2
mets,Mets tundus nii rahulik,"metsik, müts, metsnik, nimetus, metskits",A1
metsikult,Nad käituvad igal pool metsikult,"metsnik, metskits, mõttetult, teaduslikult, tervislikult",B2
miiting,Rahvas kogunes raekoja ette miitingule,"reiting, viiking, mingi, otsing, tehing",B2
minema,"Läheb kõndides, aeglaselt jalutades, komberdades, kepile toetudes, joostes, hüpeldes, puusi hööritades","minetama, munema, riknema, tipnema, ühinema",A1
mineraal,Maa mineraalide arv on lõplik suurus,"mineraalvesi, minetama, moraal, minimaalne, neutraalne",B2
mineraalvesi,Lauaveena või mineraalveekümbluseks kasutatavad mineraalveed,"minimaalne, neutraalne, minevik, minetama, mispeale",B1
minia,"Ilus, tragi, tubli minia","minimaalne, muna, mõisnik, mõni, nina",B2
minister,Ministri käskkiri,"peaminister, muster, mõiste, monitor, muistne",B1
mitmeaastane,Mitmeaastase põua tõttu oli näljahäda suur,"mitmetahuline, mõttekaaslane, mitmekesine, mitmesugune, mitmes",B2
mitmekordistama,Udu mitmekordistas avariide arvu,"mitmekordselt, tekitama, teostama, mitmekordne, mõtestama",B2
mitmevõistlus,"Suusatamise, riistvõimlemise, kergejõustiku mitmevõistlus","võistlus, mõistus, võitlus, mõistlikkus, spordivõistlus",C1
